loan_id,member_id,home_ownership, annual_inc ,loan_status, loan_amnt ,term,int_rate,cibil_score,inq_last_6mths,age,emp_length,marital,job
57245,138150,OWN," $54,000 ",Fully Paid," $1,200 ", 36 months,13.11%,679,0,36,5,married,freelance
61390,182594,MORTGAGE," $148,000 ",Fully Paid," $4,000 ", 36 months,7.88%,729,0,25,8,single,partime
61419,182917,RENT," $45,000 ",Charged Off," $5,600 ", 36 months,14.96%,669,0,22,2,married,fixed
62102,191024,RENT," $54,000 ",Fully Paid," $3,200 ", 36 months,9.88%,744,0,25,4,married,fixed
66943,247802,RENT," $24,000 ",Fully Paid," $2,800 ", 60 months,11.49%,709,0,26,17,married,fixed
68163,258249,MORTGAGE," $100,000 ",Fully Paid," $3,000 ", 36 months,7.14%,749,0,22,8,married,freelance
69550,270212,RENT," $46,000 ",Current," $11,200 ", 60 months,15.33%,689,1,26,6,married,fixed
69990,275254,RENT," $125,000 ",Fully Paid," $15,500 ", 36 months,7.88%,784,1,29,3,single,freelance
290807,290804,RENT," $84,996 ",Fully Paid," $15,000 ", 36 months,15.70%,674,1,29,13,separated,freelance
347648,348254,RENT," $60,000 ",Fully Paid," $10,000 ", 36 months,12.73%,714,0,22,15,single,fixed
348340,349269,RENT," $71,000 ",Fully Paid," $8,000 ", 36 months,11.12%,714,0,26,5,married,fixed
357509,363601,RENT," $60,000 ",Charged Off," $7,500 ", 36 months,10.25%,719,2,23,24,married,freelance
358960,365900,RENT," $65,000 ",Fully Paid," $4,800 ", 36 months,7.88%,719,0,37,3,married,fixed
362601,372102,RENT," $45,000 ",Fully Paid," $4,000 ", 36 months,13.23%,679,1,24,5,married,fixed
363593,373319,MORTGAGE," $59,450 ",Fully Paid," $3,000 ", 36 months,10.38%,714,2,24,0,married,fixed
364636,375321,MORTGAGE," $70,000 ",Fully Paid," $10,000 ", 36 months,9.88%,734,3,27,3,married,fixed
365196,376105,MORTGAGE," $55,728 ",Fully Paid," $13,000 ", 36 months,10.62%,784,0,52,1,married,freelance
366004,377347,RENT," $50,000 ",Fully Paid," $4,000 ", 36 months,12.61%,674,1,23,4,single,freelance
368492,379221,RENT," $21,000 ",Fully Paid," $4,500 ", 36 months,9.62%,714,0,24,4,married,partime
370141,386685,MORTGAGE," $58,000 ",Fully Paid," $14,000 ", 36 months,7.51%,784,1,26,20,single,fixed
370866,387172,RENT," $60,000 ",Fully Paid," $15,000 ", 36 months,14.22%,704,3,28,6,married,fixed
376257,399200,MORTGAGE," $114,400 ",Fully Paid," $20,000 ", 36 months,13.48%,704,3,37,0,married,fixed
377346,401437,RENT," $31,875 ",Fully Paid," $7,500 ", 36 months,13.11%,684,0,24,6,single,partime
377437,401596,MORTGAGE," $65,000 ",Fully Paid," $14,000 ", 36 months,15.31%,684,0,23,1,married,fixed
380713,408422,MORTGAGE," $25,000 ",Fully Paid," $13,000 ", 60 months,15.95%,689,0,33,4,single,fixed
381025,409016,RENT," $130,606 ",Fully Paid," $20,000 ", 36 months,18.30%,699,2,23,16,married,fixed
381219,409439,OWN," $34,800 ",Fully Paid," $7,350 ", 36 months,14.22%,689,2,26,12,married,fixed
382096,411142,RENT," $33,996 ",Fully Paid," $9,600 ", 36 months,9.88%,734,1,25,12,married,fixed
386071,390208,RENT," $61,000 ",Fully Paid," $10,000 ", 36 months,16.07%,669,1,35,18,married,fixed
391358,427297,MORTGAGE," $45,000 ",Fully Paid," $8,000 ", 36 months,7.51%,769,1,23,1,divorced,partime
391439,427448,RENT," $160,000 ",Fully Paid," $15,000 ", 36 months,16.82%,684,0,26,2,married,fixed
391748,379477,RENT," $80,000 ",Current," $12,000 ", 60 months,16.32%,694,0,20,3,married,others
